"Scouter Initials","Match Number","Robot","Future Alliance in Qualy?","Team Number","Starting Position","No Show","Cage Position","Moved?","Coral L1 Scored","Coral L2 Scored","Coral L3 Scored","Coral L4 Scored","Barge Algae Scored","Processor Algae Scored","Dislodged Algae?","Auto Foul","Dislodged Algae?","Pickup Location","Coral L1 Scored","Coral L2 Scored","Coral L3 Scored","Coral L4 Scored","Barge Algae Scored","Processor Algae Scored","Crossed Feild/Played Defense?","Tipped/Fell Over?","Touched Opposing Cage?","Died?","End Position","Defended?","Yellow/Red Card","",""
"RCL","28","R2","false","4010","R3","false","SP2","true","0","0","0","0","0","0","false","0","false","None","0","0","0","0","0","0","true","false","0","false","No","true","No Card","",""
"ERC","28","R1","false","10580","R2","true","SP2","false","0","0","0","0","0","0","false","0","false","None","0","0","0","0","0","0","false","false","0","false","No","false","No Card","",""
"MOE","29","B3","false","5705","R3","false","SP2","true","0","0","0","0","0","0","false","0","false","None","0","0","0","0","0","0","false","false","0","false","P","false","No Card","",""
"Pau","29","B2","false","4371","R1","false","SP1","true","0","0","0","0","0","0","false","0","false","HP","0","0","0","0","0","0","false","false","4","false","P","true","No Card","",""
"RM","29","B1","false","9301","R2","false","SP2","true","0","0","0","0","0","0","false","0","false","HP","6","0","0","0","0","0","false","false","0","false","Fc","false","No Card","",""
"RCL","29","R2","false","3933","R2","false","SP1","true","0","0","0","0","0","0","false","0","true","Ground","0","0","1","0","3","3","false","false","0","false","No","false","No Card","",""
"RCL","29","R2","false","3933","R2","false","SP1","true","0","0","0","0","0","0","false","0","true","Ground","0","0","1","0","3","3","false","false","0","false","No","false","No Card","",""
"MR","29","CH","true","3472","R2","false","SP1","true","0","0","0","1","0","0","false","0","false","HP","0","0","0","1","0","0","false","false","0","false","P","false","No Card","",""
"Pau","30","B2","false","6106","R3","false","SP2","true","0","0","0","0","0","0","false","0","false","None","1","0","0","0","0","1","false","false","0","true","No","false","No Card","",""
"RM","30","B1","true","8740","R2","false","SP2","true","0","0","0","0","0","0","false","0","true","None","0","0","0","0","1","1","false","false","0","false","P","false","No Card","",""
"MOE","30","B3","false","4775","R1","false","SP1","false","0","0","0","0","0","0","false","0","false","HP","0","2","2","0","0","0","true","false","0","false","P","false","No Card","",""
"RCL","30","R2","false","5959","R2","false","SP2","true","0","0","0","0","0","0","false","0","true","HP","1","2","0","0","0","0","false","false","0","false","P","false","No Card","",""
"RCL","30","R2","false","5959","R2","false","SP2","true","0","0","0","0","0","0","false","0","true","HP","1","2","0","0","0","0","false","false","0","false","P","false","No Card","",""
"Pau","31","B2","false","6676","R3","false","SP2","true","0","0","0","0","0","0","false","0","false","HP","0","2","0","0","0","0","false","false","0","false","P","false","No Card","",""
"RM","31","B1","true","7102","R1","false","SP1","true","0","0","0","0","0","0","false","0","true","None","0","1","0","0","0","5","false","false","0","false","P","false","No Card","",""
"MOE","31","B3","false","6170","R2","false","SP1","true","0","0","0","0","0","0","false","0","false","HP","0","2","0","0","0","0","false","false","0","false","Fc","false","No Card","",""
"","31","R2","false","9282","R3","true","SP2","false","0","0","0","0","0","0","false","0","false","None","0","0","0","0","0","0","false","false","0","false","No","false","No Card","",""
"RM","32","B1","false","10225","R2","false","SP1","true","0","0","0","0","0","0","false","0","false","HP","0","0","0","0","0","0","true","false","0","false","P","true","No Card","",""
"MOE","32","B3","false","4731","R1","false","SP1","true","0","0","0","0","0","0","false","0","false","HP","0","2","0","0","0","0","false","false","0","false","P","false","No Card","",""
"Pau","32","B2","false","6348","R3","false","SP2","true","1","0","0","0","0","0","false","0","true","HP","1","0","0","4","0","0","false","false","0","false","No","false","No Card","",""
